TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.00261879,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.004116058,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.005649567,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.007118225,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.008831024,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.01074791,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.01233101,-0.1469726,0.876953,-0.5051269,-0.4410744,12.08925,-14.68992
0.01408768,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.01603699,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.01752281,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.0192585,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.02075577,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.02215576,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.023592,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.02494049,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.02645874,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.02826881,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.02998161,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.03153801,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.03300858,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.03450394,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.03594971,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.03821564,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.04384995,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.04553986,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.04700089,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.04876137,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.05048561,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.05215645,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.053545,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.05502701,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.05643845,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.05781746,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.05928993,-0.07763671,0.9018553,-0.5339355,4.837513,14.45436,-16.32261
0.06094933,-0.0546875,0.970703,-0.4934081,4.684925,14.62221,-9.791851
0.06267929,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.06424332,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.06603432,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.06744576,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.06884766,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.07029724,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.07183075,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.07330704,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.07497978,-0.09472656,0.9448241,-0.5061035,-0.04434586,17.0331,-0.1788139
0.07679939,-0.15625,0.880371,-0.5031738,2.869129,25.22707,0.2474785
0.0786171,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.08016777,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.08169365,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.08307457,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.08484077,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.08650208,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.08792686,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.08943558,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.09353065,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.09529686,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.09718513,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.0986557,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1000519,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.101429,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.103199,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.104969,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1068707,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1083794,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.109848,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1117764,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1132774,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1150131,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1163921,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1177673,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1192589,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
0.1206932,-0.1738281,0.8920897,-0.5178222,8.133411,34.77907,-10.76841
