TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0,-0.02770996,0.9235839,-0.3306884,-1.822948,5.504608,-18.63718
0.003158569,-0.02770996,0.9235839,-0.3306884,-1.822948,5.504608,-18.63718
0.0050354,-0.02770996,0.9235839,-0.3306884,-1.822948,5.504608,-18.63718
0.006828308,-0.02770996,0.9235839,-0.3306884,-1.822948,5.504608,-18.63718
0.00868988,-0.02770996,0.9235839,-0.3306884,-1.822948,5.504608,-18.63718
0.01085663,-0.02770996,0.9235839,-0.3306884,-1.822948,5.504608,-18.63718
0.01261902,-0.02770996,0.9235839,-0.3306884,-1.822948,5.504608,-18.63718
0.01465607,0.005493157,1.005615,-0.3204345,-7.865429,-0.9183884,-16.36362
0.02295685,0.005493157,1.005615,-0.3204345,-7.865429,-0.9183884,-16.36362
0.02506256,0.005493157,1.005615,-0.3204345,-7.865429,-0.9183884,-16.36362
0.02681732,0.005493157,1.005615,-0.3204345,-7.865429,-0.9183884,-16.36362
0.02845764,0.005493157,1.005615,-0.3204345,-7.865429,-0.9183884,-16.36362
0.03029633,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.03198242,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.03368378,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.03559875,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.0371933,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.03872681,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.04058075,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.04223633,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.04372406,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.04556274,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.04736328,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.04908752,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.05054474,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.05224609,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.05368042,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.05551147,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.05699921,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.05866241,0.009887688,0.9592284,-0.366333,-11.90901,-2.306938,-8.261204
0.06075287,-0.006225586,0.9450682,-0.3922119,-4.416943,3.002167,-2.035618
0.06318665,-0.006225586,0.9450682,-0.3922119,-4.416943,3.002167,-2.035618
0.06546783,-0.006225586,0.9450682,-0.3922119,-4.416943,3.002167,-2.035618
0.06776428,-0.006225586,0.9450682,-0.3922119,-4.416943,3.002167,-2.035618
0.06996918,-0.006225586,0.9450682,-0.3922119,-4.416943,3.002167,-2.035618
0.07236481,-0.006225586,0.9450682,-0.3922119,-4.416943,3.002167,-2.035618
0.07552338,-0.01647949,0.9089354,-0.3585205,5.698681,8.052826,-0.2655983
0.07847595,-0.01647949,0.9089354,-0.3585205,5.698681,8.052826,-0.2655983
0.08152771,-0.02087402,0.9733886,-0.3253174,9.025097,11.86752,-1.471043
0.08473206,-0.02087402,0.9733886,-0.3253174,9.025097,11.86752,-1.471043
0.08728027,-0.02087402,0.9733886,-0.3253174,9.025097,11.86752,-1.471043
0.08986664,-0.02087402,0.9733886,-0.3253174,9.025097,11.86752,-1.471043
0.09297943,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.09513092,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.09729767,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.09928894,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1011963,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1033249,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1050034,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1072617,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1094208,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1114426,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1133881,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1151581,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1170425,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1187134,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1206894,-0.007202148,1.007568,-0.2945556,2.006054,11.24191,0.4200935
0.1225967,-0.03210449,0.9636229,-0.3248291,-3.898144,9.105682,5.089283
0.1249008,-0.03210449,0.9636229,-0.3248291,-3.898144,9.105682,5.089283
0.1270142,-0.03210449,0.9636229,-0.3248291,-3.898144,9.105682,5.089283
0.1290588,-0.03210449,0.9636229,-0.3248291,-3.898144,9.105682,5.089283
0.1311264,-0.03210449,0.9636229,-0.3248291,-3.898144,9.105682,5.089283
0.1336899,-0.03210449,0.9636229,-0.3248291,-3.898144,9.105682,5.089283
0.1358337,-0.03210449,0.9636229,-0.3248291,-3.898144,9.105682,5.089283
0.1382217,-0.04968262,0.9265136,-0.3424072,-2.219677,11.37924,6.248951
0.1414032,-0.04968262,0.9265136,-0.3424072,-2.219677,11.37924,6.248951
0.1437073,-0.04968262,0.9265136,-0.3424072,-2.219677,11.37924,6.248951
0.1466522,-0.04968262,0.9265136,-0.3424072,-2.219677,11.37924,6.248951
0.1495819,-0.04968262,0.9265136,-0.3424072,-2.219677,11.37924,6.248951
0.152298,-0.04968262,0.9265136,-0.3424072,-2.219677,11.37924,6.248951
0.155571,-0.07360839,0.9309081,-0.3468017,4.279613,15.49911,2.647877
0.1590042,-0.07360839,0.9309081,-0.3468017,4.279613,15.49911,2.647877
0.1617737,-0.07360839,0.9309081,-0.3468017,4.279613,15.49911,2.647877
0.1643524,-0.07360839,0.9309081,-0.3468017,4.279613,15.49911,2.647877
0.1666641,-0.07360839,0.9309081,-0.3468017,4.279613,15.49911,2.647877
0.1695938,-0.07360839,0.9309081,-0.3468017,4.279613,15.49911,2.647877
0.172226,-0.07360839,0.9309081,-0.3468017,4.279613,15.49911,2.647877
